EST;X688_arroz_1;X688_arroz_2;X688_arroz_3;X688_milho_1;X688_milho_2;X688_milho_3;CNPA_arroz_1;CNPA_arroz_2;CNPA_arroz_3;CNPA_milho_1;CNPA_milho_2;CNPA_milho_3;dieta_arroz_1;dieta_arroz_2;dieta_arroz_3;dieta_milho_1;dieta_milho_2;dieta_milho_3;fm993_arroz_1;fm993_arroz_2;fm993_arroz_3;fm993_milho_1;fm993_milho_2;fm993_milho_3;puita_arroz_1;puita_arroz_2;puita_arroz_3;puita_milho_1;puita_milho_2;puita_milho_3
SF1P00891-5-1;4.43;5.44;0;42.33;12.45;0;6.97;14.67;10.41;18.01;46.77;26.23;3.19;9.33;10.67;13.03;23.67;47.59;14.97;5.47;0;29.69;29.39;0;11.04;13.63;5.44;25.18;31.29;2.7
SF1P00898-5-1;11.82;5.36;0;16.75;16.2;0;2.76;0.8;15.08;24.45;4.48;8.84;4.92;23.54;1.53;8.48;19.92;2.53;16.59;12.24;0.24;21.49;53.85;0;0.63;70.29;8.33;0;21.4;1.97
SF1P00905-5-1;3.79;6.15;4.16;6.27;8.45;5.19;4.88;5.09;6.21;6.88;5.9;4.98;5.02;4.1;4.88;5.95;6.02;8.75;5.85;5.06;2.13;5.07;6.42;6.64;6.36;5.46;5.19;7.28;4.36;3.18
SF1P00912-5-1;3.14;6.07;0;2.58;28.19;0;6.02;0.29;2.23;1.8;0;4.08;8.8;5.65;0.41;39.01;0;0;3.11;0;0;1.93;5.49;0;0.06;1.7;3.89;4.83;1.48;1.53
SF1P00918-5-1;9.1;3.18;0.06;7.83;7.94;0;1.96;0.8;9.62;16.5;3.11;5.34;4.33;10.64;0.12;5.08;18.32;1.23;10.62;11.49;0;11.64;36.49;0;0.38;36.72;4.53;0;12.99;1.18
SF1P00927-5-1;49.33;26.4;0;27.68;11.59;0;5.84;24.98;10.21;17.81;13.89;27.46;6.67;2.15;79.7;4.77;95.46;129.36;33.46;69.34;0;30.94;18.24;0;143.82;11.84;7.58;148.57;13.22;0
SF1P00928-5-1;6.67;13.74;0;2.2;3.22;0;6.02;5.23;8.48;1.13;4.4;3.39;10.86;3.75;5.65;3.14;1.88;5.28;5.49;8.31;0;4.57;3.41;0;4.41;6.48;13.39;2.36;4.85;0.58
SF1P00933-5-1;4.18;12.27;0;28.72;155.57;0;7.33;18.38;6.09;77.16;110.28;91.6;22.52;5.49;8.94;155.59;123.17;50.59;19.09;5.44;0;56.96;24.93;0;2.93;4.34;14.05;63.58;57.66;4.65
SF1P00934-5-1;13.31;6.66;0;9.15;8.89;0;15.5;25.42;17.89;17.67;14.88;13.99;10.9;15.2;17;5.42;12.22;8.72;8.36;11.32;0.25;17.85;13.24;0;7.92;16.13;12.04;14.21;13.13;0.85
SF1P00941-5-1;0.08;0.22;3093.98;0.29;0.27;843.56;0;0;0.49;0.62;0.14;1.22;0.06;0;1.49;0;0;0.72;0.49;0.25;1204.86;2.88;0.1;683.96;0;0;0.46;0;0;1022.79
SF1P00951-5-1;3;3.01;0;6.76;2.69;0;1.13;3.12;4.64;3.76;2.03;2.83;1.12;3.08;5.19;1.76;5.58;4.56;5.08;3.69;0;4.87;3.37;0;3.03;2.86;2.22;7.77;3.34;0.22
SF1P00952-5-1;1.71;0.85;0;3.35;0.88;0;2.24;0.8;2.05;1.18;0.72;1.33;2.23;0.61;1.15;1.05;1.77;1.85;2.37;2.54;0;1.81;4.77;0;0.8;2.51;0.94;1.73;1.35;0.11
SF1P00956-5-1;0.26;0;0;2.66;3.38;0;0;0.22;0.75;2.58;1.31;1.81;0;0;0;0.19;0.86;1.1;0;0.38;0;2.53;1.87;0;0.73;1.16;0;0.83;2.21;0.25
SF1P00957-5-1;6.46;12.49;13.84;5.38;9.69;17.25;9.14;10.45;8.36;9.9;11.02;7.78;12.6;6.64;13.83;12.14;9.45;12.45;8.19;6.24;18.55;10.79;7.85;13.8;8.43;7.99;10.82;11.68;7.13;15.53
SF1P00963-5-1;15.05;6.85;0;14.12;10.3;0;2.6;0.66;15.02;29.96;3.55;11.09;3.97;12.94;0;7.19;28.94;3.4;18.19;26.03;0;19.28;44.47;0;0.74;45.15;6.56;0;17.96;1.29
